t (s),Actual,Predicted_RF,Predicted_DT,Absolute Error RF,Absolute Error DT,Squared Error RF,Squared Error DT,SST,,,52.84811719
9031,52.995037,52.98790271,52.98906973,0.007134289,0.005967273,5.08981E-05,3.56083E-05,0.021585431,,,
9032,52.984621,52.98883191,52.989567,0.004210914,0.004946,1.77318E-05,2.44629E-05,0.01863329,,,
9033,52.984621,52.98863492,52.98918654,0.004013917,0.004565538,1.61115E-05,2.08441E-05,0.01863329,,,
9034,52.985745,52.98808319,52.98886043,0.002338195,0.003115429,5.46716E-06,9.7059E-06,0.018941414,,,
9035,52.985745,52.98844938,52.98865273,0.002704375,0.002907733,7.31365E-06,8.45491E-06,0.018941414,,,
9036,53.000673,52.98831453,52.988471,0.012358473,0.012202,0.000152732,0.000148889,0.023273275,,,
9037,53.000673,52.9902865,52.98918876,0.010386502,0.011484235,0.000107879,0.000131888,0.023273275,,,
9038,53.004874,52.99169761,52.993128,0.013176393,0.011746,0.000173617,0.000137969,0.024572697,,,
9039,53.004874,52.99511332,52.99403154,0.009760683,0.010842462,9.52709E-05,0.000117559,0.024572697,,,
9040,53.000176,52.99763008,53.0027735,0.002545922,0.0025975,6.48172E-06,6.74701E-06,0.023121882,,,
9041,53.000176,52.99785254,53.002254,0.00232346,0.002078,5.39847E-06,4.31808E-06,0.023121882,,,
9042,53.003879,52.9980863,53.00190767,0.005792696,0.001971333,3.35553E-05,3.88616E-06,0.024261741,,,
9043,53.003879,52.99897347,53.00218929,0.004905535,0.001689714,2.40643E-05,2.85513E-06,0.024261741,,,
9044,52.995729,52.99723764,52.988471,0.001508644,0.007258,2.27601E-06,5.26786E-05,0.021789246,,,
9045,52.995729,52.99702179,53.00165922,0.001292788,0.005930222,1.6713E-06,3.51675E-05,0.021789246,,,
9046,52.992598,52.99948359,53.0010662,0.006885593,0.0084682,4.74114E-05,7.17104E-05,0.020874704,,,
